,danbai,dan,danhong,hong,jiang,anhong,honghuang,qingzi,danzi,brightness,label,predict
78,52,39,4,0,0,4,0,0,0,149.77181399999998,danbai,danhong
79,99,1,0,0,0,0,0,0,0,148.3106796,danbai,danbai
80,63,21,3,0,0,12,0,0,0,153.8560124,danbai,danhong
81,69,24,0,0,0,6,0,0,0,126.64585670000001,danbai,danhong
82,68,26,5,0,0,1,0,0,0,143.0982631,danbai,danhong
83,52,34,12,0,0,1,1,0,0,162.5193634,danbai,danhong
84,72,27,1,0,0,0,0,0,0,156.86974919999997,danbai,danhong
85,54,43,2,1,0,0,0,0,0,205.1725188,danbai,danhong
86,61,37,1,0,0,1,0,0,0,192.0675799,danbai,danhong
87,28,33,33,0,0,1,5,0,0,184.3546321,danbai,danhong
88,65,30,5,1,0,1,0,0,0,159.47951030000002,danbai,danhong
89,73,22,3,2,0,1,0,0,0,174.890019,danbai,danhong
90,73,20,0,0,0,3,0,0,4,132.1775679,danbai,danhong
91,64,31,5,0,0,0,0,0,0,178.3670475,danbai,danhong
92,2,7,27,1,0,17,45,0,0,183.730875,danbai,danhong
93,56,17,7,15,0,4,0,0,0,160.9546584,danbai,danhong
94,42,37,9,0,0,11,0,0,0,179.30482869999997,danbai,danhong
95,69,25,0,0,0,5,0,0,0,154.1339516,danbai,danhong
96,50,29,11,8,0,3,0,0,0,153.77643840000002,danbai,danhong
97,93,7,0,0,0,0,0,0,0,196.9811427,danbai,danhong
98,96,4,0,0,0,0,0,0,0,146.2409025,danbai,danhong
99,93,7,0,0,0,0,0,0,0,198.3253688,danbai,danhong
100,5,6,18,0,0,2,70,0,0,143.2925707,danbai,danhong
101,86,10,0,0,0,4,0,0,0,134.38796409999998,danbai,danhong
102,78,14,5,1,0,2,0,0,0,185.14952399999999,danbai,danhong
103,86,1,0,0,0,5,0,0,8,132.2923417,danbai,danhong
104,81,10,0,0,0,7,3,0,0,139.9458877,danbai,danbai
105,62,24,1,0,0,12,0,0,1,133.7910975,danbai,danhong
106,34,10,3,1,0,52,0,0,0,139.8908518,danbai,danhong
107,95,1,1,0,0,0,3,0,0,181.3189829,danbai,danbai
108,73,16,7,0,0,2,2,0,0,148.13785,danbai,danhong
109,0,2,7,0,0,0,91,0,0,116.65703789999999,danbai,danhong
110,52,33,15,0,0,0,0,0,0,147.28382040000002,danbai,danhong
111,76,17,3,0,0,0,0,0,5,169.41782419999998,danbai,danhong
112,9,34,27,4,0,6,21,0,0,107.73325279999999,danbai,danhong
113,87,11,0,0,0,2,0,0,0,168.45917830000002,danbai,danhong
114,13,66,17,2,0,1,0,0,0,200.2501746,danbai,danhong
115,99,0,0,0,0,0,0,0,1,155.1665265,danbai,danbai
116,91,9,0,0,0,0,0,0,0,161.1899771,danbai,danhong
117,76,16,0,0,0,7,0,0,0,122.13439540000002,danbai,danhong
118,77,8,0,0,0,14,0,0,1,144.9418425,danbai,danhong
119,51,45,2,2,0,0,0,0,0,204.1526831,danbai,danhong
120,84,14,0,0,0,3,0,0,0,149.84504230000002,danbai,danhong
121,26,36,13,0,0,25,0,0,0,136.8494533,danbai,danhong
122,69,30,0,0,0,0,0,0,0,166.97435149999998,danbai,danhong
123,64,23,0,0,0,12,0,0,0,111.77589209999998,danbai,danhong
124,49,41,10,0,0,0,0,0,0,183.38242490000002,danbai,danhong
125,58,32,6,0,0,4,0,0,0,167.55865319999998,danbai,danhong
126,69,22,0,0,0,0,0,0,9,130.1812509,danbai,danhong
127,43,21,20,2,0,6,9,0,0,109.3544429,danbai,danhong
128,65,26,6,0,0,3,0,0,0,175.7194395,danbai,danhong
129,85,6,0,0,0,9,0,0,0,142.4166747,danbai,danhong
130,54,33,5,0,0,7,1,0,0,121.9520371,danbai,danhong
131,0,3,29,1,0,0,67,0,0,196.7770645,danbai,danbai
132,82,9,0,0,0,5,0,0,3,142.56071310000002,danzi,danhong
133,61,13,0,0,0,1,0,0,24,169.2088706,danzi,danzi
134,84,15,0,0,0,1,0,0,0,153.5202408,danzi,danhong
135,94,3,0,0,0,1,0,0,1,148.3578544,danzi,danhong
136,98,2,0,0,0,0,1,0,0,164.19883190000002,danzi,danbai
137,41,43,7,0,0,3,0,0,6,127.60911100000001,danzi,danhong
138,21,72,7,0,0,0,0,0,0,146.21852030000002,danzi,danhong
139,63,36,0,0,0,1,0,0,1,145.6729881,danzi,danhong
140,50,14,0,0,0,8,0,0,28,140.20470690000002,danzi,danhong
141,74,15,1,0,0,10,0,0,0,127.4138632,danzi,danhong
142,70,7,0,0,0,8,0,0,15,123.50715020000001,danzi,danzi
143,57,34,3,0,0,7,0,0,0,117.29123,danzi,danhong
144,92,6,0,0,0,0,0,0,2,141.16394230000003,danzi,danhong
145,84,13,0,0,0,2,0,0,0,123.53025919999999,danzi,danhong
146,100,0,0,0,0,0,0,0,0,140.9723291,danzi,danbai
147,92,8,0,0,0,0,0,0,0,138.0097365,danzi,danhong
148,74,12,0,0,0,14,0,0,0,134.47842240000003,danzi,danhong
149,62,7,0,0,0,2,0,0,28,119.75781090000002,danzi,danzi
150,48,4,0,0,0,42,0,0,6,109.2378815,danzi,danhong
151,100,0,0,0,0,0,0,0,0,142.3892309,danzi,danbai
152,52,27,20,1,0,0,0,0,0,129.2871867,danzi,danhong
153,20,31,6,0,0,1,0,9,33,163.6128731,danzi,danzi
154,74,19,0,0,0,5,0,0,2,141.1255999,danzi,danhong
155,75,9,0,0,0,0,0,0,16,148.1715907,danzi,danzi
156,63,33,1,0,0,0,0,0,3,141.8273011,danzi,danhong
157,10,47,16,3,0,4,0,5,15,154.1846731,danzi,danzi
158,85,13,0,0,0,2,0,0,0,106.9196689,danzi,danhong
159,25,50,24,0,0,1,0,0,0,126.0548328,danzi,danhong
160,1,32,20,0,0,2,0,34,11,143.9504892,danzi,danzi
161,84,11,2,0,0,3,0,0,0,147.7307095,danzi,danhong
162,50,6,0,0,0,10,0,0,34,119.6872649,danzi,danzi
163,16,65,18,1,0,1,0,0,0,147.6520543,danzi,danhong
164,15,68,13,0,0,1,0,0,3,141.58950369999997,danzi,danhong
165,11,73,15,1,0,0,0,0,0,149.9408659,danzi,danhong
166,51,4,0,0,0,10,0,0,34,103.5076128,danzi,danzi
167,40,50,6,0,0,3,0,0,0,134.86366189999998,danzi,danhong
168,57,15,1,0,0,13,0,0,14,140.2696447,danzi,danhong
169,55,40,1,0,0,2,0,0,1,136.4153459,danzi,danhong
170,67,29,1,0,0,3,0,0,0,105.1606155,danzi,danhong
171,87,12,0,0,0,1,0,0,0,162.1264841,danzi,danhong
172,25,62,12,1,0,0,0,0,1,153.01425369999998,danzi,danhong
173,36,46,6,0,0,1,0,0,11,171.6440155,danzi,danhong
174,94,4,0,0,0,0,0,0,2,149.1758841,danzi,danhong
175,64,27,0,0,0,0,0,0,8,178.6069801,danzi,danhong
176,70,25,1,0,0,4,0,0,0,180.2203934,danzi,danhong
177,47,48,2,0,0,0,0,0,3,122.1739213,danzi,danhong
178,46,42,12,0,0,0,0,0,0,139.8944584,danzi,danhong
179,51,18,3,0,0,2,0,0,26,167.536239,danzi,danhong
180,75,1,0,0,0,18,0,0,5,121.36059850000001,danzi,danhong
181,30,44,13,0,0,6,6,0,0,135.2325847,danzi,danhong
182,47,23,7,0,0,2,0,0,20,190.6374362,danzi,danhong
183,38,1,0,0,0,1,0,0,60,167.4708707,danzi,danzi
184,1,11,10,0,0,14,0,42,23,132.9198702,danzi,danzi
185,48,31,13,0,0,7,1,0,0,149.1070918,danzi,danhong
186,45,26,22,0,0,6,0,0,0,130.4107211,danzi,danhong
187,96,0,0,0,0,3,0,0,0,144.1956854,danzi,danhong
188,31,50,1,0,0,4,0,1,13,132.1372877,danzi,danhong
189,80,16,0,0,0,4,0,0,0,151.10396830000002,danzi,danhong
190,80,3,0,0,0,0,0,0,17,141.0562716,danzi,danzi
191,51,39,1,0,0,0,0,0,8,171.0179119,danzi,danhong
192,82,10,1,0,0,5,1,0,2,163.74725990000002,danzi,danhong
193,33,21,2,0,0,18,0,0,26,107.4927592,danzi,danhong
194,57,32,2,0,0,5,0,0,5,153.8140067,danzi,danhong
195,76,16,0,0,0,7,0,0,0,122.13439540000002,danzi,danhong
196,71,25,2,0,0,2,0,0,0,162.61948759999999,danzi,danhong
197,66,22,0,0,0,2,0,0,11,179.5910888,danzi,danhong
198,62,7,0,0,0,2,0,0,28,119.75781090000002,danzi,danzi
199,19,12,0,0,0,0,0,23,46,153.50559099999998,danzi,danzi
200,0,15,35,2,0,0,0,43,4,166.74860280000001,danhong,jiang
201,0,0,7,20,0,0,73,0,0,162.7373929,danhong,danhong
202,66,19,2,0,0,3,0,0,10,153.21333959999998,danhong,danhong
203,0,0,0,0,0,0,99,0,0,177.19378669999998,danhong,danhong
204,12,35,24,25,0,4,1,0,0,154.25752509999998,danhong,hong
205,0,0,9,4,0,0,87,0,0,123.2114912,danhong,danhong
206,20,32,28,8,0,12,0,0,0,106.6135466,danhong,hong
207,40,55,4,0,0,0,1,0,0,155.73007959999998,danhong,danhong
208,51,24,17,6,0,2,0,0,0,167.6797938,danhong,danhong
209,1,40,47,9,0,3,0,0,0,168.7365374,danhong,danhong
210,38,37,7,0,0,14,0,0,3,139.80246369999998,danhong,danhong
211,25,52,15,5,0,0,2,0,0,180.50133799999998,danhong,danhong
212,0,5,41,35,0,1,18,0,0,144.8079299,danhong,hong
213,36,61,3,0,0,0,0,0,0,185.7358676,danhong,danhong
214,0,0,14,20,0,0,66,0,0,167.7335201,danhong,danhong
215,0,41,39,7,0,0,13,0,0,175.0056017,danhong,danhong
216,0,20,51,1,0,0,28,0,0,188.57202560000002,danhong,danhong
217,72,25,1,0,0,1,2,0,0,150.1867345,danhong,danhong
218,40,33,19,0,0,5,2,0,0,168.591734,danhong,danhong
219,0,0,26,19,0,0,55,0,0,167.029225,danhong,danhong
220,1,19,44,20,0,1,15,0,0,144.98594269999998,danhong,danhong
221,0,3,54,32,0,3,8,0,0,124.7189626,danhong,danhong
222,0,14,60,11,0,1,15,0,0,169.04569469999998,danhong,danhong
223,0,0,0,0,0,0,99,0,0,161.91871909999998,danhong,danhong
224,0,0,45,8,0,0,47,0,0,166.1520183,danhong,danhong
225,0,0,27,39,0,0,34,0,0,144.9815625,danhong,hong
226,41,44,6,0,0,0,0,0,8,150.74443459999998,danhong,danhong
227,32,44,9,1,0,1,0,0,12,171.0790871,danhong,hong
228,8,57,29,3,0,3,0,0,0,159.42003,danhong,danhong
229,18,33,13,3,0,31,0,0,2,108.70639270000001,danhong,danhong
230,95,4,0,0,0,0,0,0,0,146.2450474,danhong,danhong
231,0,0,8,1,0,0,91,0,0,178.79185980000003,danhong,danhong
232,36,42,18,4,0,1,0,0,0,158.6589844,danhong,danhong
233,55,24,4,1,0,17,0,0,0,135.7741921,danhong,danhong
234,0,0,12,1,0,0,87,0,0,172.57355280000002,danhong,danhong
235,0,0,31,17,0,0,52,0,0,180.1893426,danhong,danhong
236,6,32,50,3,0,10,0,0,0,184.67802849999998,danhong,danhong
237,1,35,43,19,0,1,2,0,0,152.7182548,danhong,danhong
238,49,31,15,3,0,0,0,0,3,168.3316841,danhong,danhong
239,3,8,14,8,0,66,0,0,0,62.26431438,danhong,danhong
240,12,34,44,9,0,1,0,0,0,171.7364064,danhong,danhong
241,0,0,21,5,0,0,74,0,0,153.4286826,danhong,danhong
242,0,0,19,31,0,0,50,0,0,181.9859704,danhong,danhong
243,31,53,4,0,0,12,0,0,0,116.78015079999999,danhong,danhong
244,29,27,17,3,0,18,6,0,0,96.79998420000001,danhong,danhong
245,2,43,41,11,0,2,0,0,0,137.40325269999997,danhong,danhong
246,0,0,13,20,0,0,67,0,0,155.4516642,danhong,danhong
247,58,38,4,0,0,0,0,0,0,160.8260841,danhong,danhong
248,0,0,44,21,0,0,34,0,0,156.0468658,danhong,danhong
249,0,1,47,9,0,0,44,0,0,144.5061922,danhong,danhong
250,0,0,5,4,0,4,87,0,0,123.4457888,danhong,danhong
251,0,13,28,3,0,19,37,0,0,69.79139142,danhong,danhong
252,1,18,33,5,0,5,37,0,0,98.44078637,danhong,danhong
253,23,46,25,1,0,0,5,0,0,140.1839077,danhong,danhong
254,54,36,7,3,0,1,0,0,0,176.6853341,danhong,danhong
255,0,0,2,36,0,0,62,0,0,159.7386049,danhong,hong
256,27,65,7,0,0,1,1,0,0,178.0206186,danhong,danhong
257,34,30,20,4,0,6,7,0,0,154.37255359999997,danhong,danhong
258,0,0,20,16,0,0,63,0,0,164.65961399999998,danhong,danhong
259,0,0,9,14,0,0,77,0,0,160.7305946,danhong,danhong
260,0,0,14,17,0,0,69,0,0,159.0434261,danhong,danhong
261,0,7,40,29,0,11,14,0,0,127.87496019999999,danhong,danhong
262,0,3,36,21,0,0,40,0,0,145.5723061,danhong,danhong
263,20,47,2,0,0,0,0,5,26,170.3623128,danhong,danzi
264,57,28,13,2,0,0,0,0,0,189.8030788,danhong,danhong
265,13,44,37,3,0,3,1,0,0,156.96099569999998,danhong,danhong
266,16,56,27,0,0,0,0,0,0,134.5808875,danhong,danhong
267,22,41,16,1,0,20,1,0,0,126.03622040000002,danhong,danhong
268,38,26,16,8,0,11,0,0,0,132.0478101,danhong,danhong
269,0,0,1,16,0,0,82,0,0,153.1001506,danhong,danhong
270,0,0,3,6,0,0,91,0,0,158.6074718,danhong,danhong
271,56,33,8,0,0,3,0,0,0,147.3757636,danhong,danhong
272,0,0,9,16,0,0,75,0,0,158.3877423,danhong,danhong
273,0,0,3,32,0,0,64,0,0,166.595753,danhong,danhong
274,0,8,71,14,0,2,4,0,0,175.439887,danhong,danhong
275,23,57,19,1,0,0,0,0,0,167.29017240000002,danhong,danhong
276,10,42,33,7,0,9,0,0,0,155.2195959,danhong,danhong
277,47,38,12,3,0,0,0,0,0,178.7742467,danhong,danhong
278,0,0,14,24,0,0,62,0,0,175.35922140000002,danhong,danhong
279,0,15,76,9,0,0,0,0,0,178.61249890000002,danhong,danhong
280,3,6,42,49,0,0,0,0,0,212.59941659999998,danhong,hong
281,0,0,13,1,0,0,86,0,0,172.88364840000003,danhong,danhong
282,6,43,39,9,0,4,0,0,0,149.28654219999999,danhong,danhong
283,0,14,39,38,0,0,9,0,0,147.4597746,danhong,hong
284,0,5,56,33,0,2,3,0,0,178.40192119999998,danhong,danhong
285,34,42,18,4,0,1,2,0,0,136.7244608,danhong,danhong
286,0,0,35,52,0,3,10,0,0,130.1684922,danhong,hong
287,28,19,1,0,0,8,0,4,41,131.2191564,danhong,qingzi
288,0,0,3,18,0,0,79,0,0,166.9147597,danhong,danhong
289,59,16,4,0,0,21,0,0,0,124.95574209999998,danhong,danhong
290,5,24,30,28,0,4,0,3,5,162.94962040000001,danhong,hong
291,0,0,27,2,0,0,71,0,0,171.56356269999998,danhong,danhong
292,0,0,4,6,0,0,90,0,0,145.0038094,danhong,danhong
293,0,4,59,11,0,3,24,0,0,160.49066340000002,danhong,danhong
294,60,22,3,0,0,12,2,0,0,102.67955079999999,danhong,danhong
295,0,0,1,35,0,0,64,0,0,163.4019869,danhong,hong
296,0,0,47,26,0,2,26,0,0,139.1225091,danhong,danhong
297,30,38,24,1,0,7,0,0,1,144.10398840000002,danhong,danhong
298,0,0,22,4,0,0,74,0,0,154.43614319999998,danhong,danhong
299,0,0,31,30,0,0,39,0,0,178.8834689,danhong,danhong
300,51,29,10,2,0,7,0,0,1,155.4073973,danhong,danhong
301,42,40,12,0,0,5,1,0,0,153.6811341,danhong,danhong
302,0,31,48,17,0,2,0,0,0,167.8923435,danhong,hong
303,41,37,13,0,0,2,0,0,7,142.81515469999997,danhong,danhong
304,56,28,9,0,0,7,0,0,0,189.9067002,danhong,danhong
305,12,66,15,2,0,3,1,0,0,195.1191791,danhong,danhong
306,86,11,0,0,0,3,0,0,0,108.6352834,danhong,danhong
307,0,0,37,58,0,4,1,0,0,154.7315931,danhong,hong
308,2,61,28,6,0,2,0,0,0,149.4649626,danhong,danhong
309,91,9,0,0,0,0,0,0,0,163.7822621,danhong,danhong
310,73,10,2,0,0,3,0,0,12,127.5175679,danhong,danhong
311,19,41,34,2,0,4,0,0,0,142.2769792,danhong,danhong
312,0,36,46,14,0,3,2,0,0,152.409276,danhong,danhong
313,72,28,0,0,0,0,0,0,0,153.6303945,danhong,danhong
314,0,0,12,19,0,1,68,0,0,155.7639524,danhong,danhong
315,0,2,49,18,0,1,30,0,0,140.07196159999998,danhong,danhong
316,30,35,32,1,0,1,0,0,0,189.98806069999998,danhong,danhong
317,0,0,15,15,0,1,69,0,0,128.488985,danhong,danhong
318,13,19,59,6,0,2,0,0,0,173.153766,danhong,danhong
319,14,34,35,14,0,3,0,0,0,152.64354540000002,danhong,danhong
320,0,38,35,5,0,5,18,0,0,110.60309040000001,danhong,danhong
321,11,19,47,21,0,2,0,0,0,127.74835379999999,danhong,hong
322,0,0,0,0,44,0,56,0,0,113.8801337,danhong,hong
323,0,4,50,39,0,7,0,0,0,161.32168230000002,danhong,hong
324,5,53,40,0,0,2,0,0,0,181.11360480000002,danhong,danhong
325,1,16,51,19,0,13,0,0,0,95.43570754,danhong,hong
326,0,0,47,44,0,0,9,0,0,174.7318736,danhong,hong
327,56,34,10,0,0,0,0,0,0,167.82947430000002,danhong,danhong
328,0,0,21,18,0,0,61,0,0,160.93818000000002,danhong,danhong
329,0,18,60,5,0,4,14,0,0,171.14813869999998,danhong,danhong
330,0,14,59,18,0,7,3,0,0,151.1764901,danhong,danhong
331,0,18,28,23,0,2,29,0,0,118.7472507,danhong,danhong
332,51,40,9,0,0,0,0,0,0,180.61989340000002,danhong,danhong
333,0,0,69,29,0,0,2,0,0,165.1390988,danhong,danhong
334,0,32,61,4,0,3,0,0,0,169.2499142,danhong,danhong
335,54,34,8,3,0,2,0,0,0,167.8899438,danhong,danhong
336,0,0,50,44,0,5,1,0,0,168.7693458,danhong,hong
337,0,6,48,7,0,0,39,0,0,186.07681350000001,danhong,danhong
338,3,30,48,9,0,11,0,0,0,155.7576216,danhong,danhong
339,91,9,0,0,0,0,0,0,0,163.7822621,danhong,danhong
340,43,26,8,0,0,24,0,0,0,105.83578519999999,danhong,danhong
341,62,19,1,0,0,0,0,0,18,168.17612680000002,danhong,danhong
342,82,14,3,0,0,0,2,0,0,163.4684479,danhong,danhong
343,37,56,7,0,0,0,0,0,0,202.8598853,danhong,danhong
344,14,34,35,14,0,3,0,0,0,152.64354540000002,danhong,danhong
345,27,19,31,0,0,1,22,0,0,147.57053100000002,danhong,danhong
346,73,10,2,0,0,3,0,0,12,127.5175679,danhong,danhong
347,0,2,85,13,0,0,0,0,0,180.903565,danhong,danhong
348,2,61,28,6,0,2,0,0,0,149.4649626,danhong,danhong
349,16,26,52,4,0,2,1,0,0,182.4369503,danhong,danhong
350,2,32,45,20,0,0,1,0,0,180.5712348,danhong,hong
351,23,23,11,3,0,19,21,0,0,124.2222355,danhong,danhong
352,49,38,9,1,0,2,1,0,0,121.8990273,danhong,danhong
353,36,42,14,3,0,4,0,0,1,121.82392720000001,danhong,danhong
354,43,38,17,1,0,0,0,0,0,152.1625894,danhong,danhong
355,0,0,60,18,0,0,21,0,0,177.06120769999998,danhong,danhong
356,35,48,13,4,0,1,0,0,0,157.7007943,danhong,danhong
357,6,47,43,3,0,0,0,0,0,148.47833909999997,danhong,danhong
358,37,62,1,0,0,1,0,0,0,122.57998700000002,danhong,danhong
359,0,34,44,6,0,6,10,0,0,167.6620011,danhong,danhong
360,1,26,53,11,0,5,4,0,0,191.53157030000003,danhong,danhong
361,59,29,12,0,0,0,0,0,0,122.55187849999999,danhong,danhong
362,26,34,21,10,0,7,0,0,1,125.74713190000001,danhong,hong
363,0,14,73,4,0,8,1,0,0,172.45529299999998,danhong,danhong
364,0,12,44,13,0,1,30,0,0,160.6290167,danhong,danhong
365,13,37,29,5,0,16,0,0,0,158.4018027,danhong,danhong
366,68,27,5,0,0,0,0,0,0,171.83713500000002,danhong,danhong
367,0,7,15,44,0,0,33,0,0,156.7554805,danhong,hong
368,7,87,5,0,0,1,0,0,0,186.9725082,danhong,danhong
369,46,28,19,3,0,3,1,0,0,172.64602209999998,danhong,danhong
370,3,51,39,3,0,4,0,0,0,165.00114519999997,danhong,danhong
371,2,40,26,30,0,2,1,0,0,130.67221909999998,danhong,hong
372,18,31,35,10,0,4,2,0,0,182.46462309999998,danhong,danhong
373,22,41,32,4,0,1,0,0,0,157.5599365,danhong,danhong
374,0,3,65,31,0,1,0,0,0,178.1456499,danhong,hong
375,36,39,21,1,0,3,0,0,0,161.90357230000004,danhong,danhong
376,1,36,36,10,0,0,16,0,0,148.40875590000002,danhong,danhong
377,0,0,23,62,0,5,10,0,0,129.1082077,danhong,hong
378,40,43,3,0,0,13,0,0,0,119.14021979999998,danhong,danhong
379,48,43,9,0,0,1,0,0,0,140.1292443,danhong,danhong
380,0,21,45,32,0,2,0,0,0,147.1416729,danhong,hong
381,0,0,95,5,0,0,0,0,0,202.1350176,danhong,danhong
382,45,43,9,0,0,2,0,0,0,178.22161,danhong,danhong
383,41,36,17,1,0,3,2,0,0,148.0228861,danhong,danhong
384,6,18,48,22,0,2,4,0,0,140.4077075,danhong,danhong
385,79,18,2,0,0,1,0,0,0,144.8468835,danhong,danhong
386,36,47,15,0,0,1,1,0,0,154.91443080000002,danhong,danhong
387,24,33,26,7,0,11,0,0,0,126.01601720000001,danhong,danhong
388,52,36,11,0,0,1,0,0,0,152.95492240000002,danhong,danhong
389,39,42,15,1,0,0,3,0,0,149.3430013,danhong,danhong
390,5,18,42,29,0,6,0,0,0,154.4692911,danhong,hong
391,18,33,31,8,0,6,4,0,0,126.02324420000001,danhong,danhong
392,19,41,33,3,0,2,2,0,0,142.2789467,danhong,danhong
393,31,36,18,7,0,8,0,0,0,127.03676979999999,danhong,danhong
394,43,30,5,0,0,20,1,0,0,145.5010764,danhong,danhong
395,63,28,6,0,0,2,0,0,0,142.89470319999998,danhong,danhong
396,40,34,12,2,0,12,0,0,0,139.2332936,danhong,danhong
397,37,44,13,2,0,5,0,0,0,139.0900374,danhong,danhong
398,19,43,20,3,0,16,0,0,0,132.7076514,danhong,danhong
399,15,33,40,5,0,2,4,0,0,146.5752884,danhong,danhong
400,13,58,21,4,0,1,4,0,0,155.6843295,danhong,danhong
